Feature,Importance
event_related_dynamics,448334.19842481613
kurtosis,404702.2637810707
skewness,317923.7232375145
snr,309547.1373267174
hjorth_complexity,255643.6771287918
zero_crossing_rate,248011.11302900314
peak_to_peak,242753.7086777687
spectral_entropy,228411.9748339653
spike_count,221191.11127471924
mean,181150.23557043076
shannon_entropy,174893.39954471588
signal_variance,158688.43004608154
amplitude_modulation,128261.70133686066
hjorth_mobility,123767.78262424469
variance,28497.01908493042
relative_power,11833.683794260025
band_power,8254.917898893356
power_psd_welch,7443.74397277832
power_tfr_morlet,5177.719234466553
hjorth_activity,0.0
peak_to_peak_amplitude,0.0
standard_deviation,0.0
